Obs,Shark_ID,lon,lat,Month,Day,Year,Season
1,19687,-79.70419872,26.40228186,10,26,2018,Warm
2,19687,-79.77090219,26.31242888,10,27,2018,Warm
3,19687,-80.91340063,24.70091492,11,2,2018,Cold
4,19687,-81.27347946,24.61264326,11,3,2018,Cold
5,19802,-79.01391497,26.7485595,1,14,2019,Cold
6,19802,-78.99921411,26.75981317,1,15,2019,Cold
7,19802,-78.9527513,26.85345767,1,16,2019,Cold
8,19802,-78.90553437,26.95509321,1,17,2019,Cold
9,19802,-78.88191868,27.01581317,1,18,2019,Cold
10,19802,-78.90944819,26.97612665,1,19,2019,Cold
11,19802,-78.99623751,26.81474141,1,20,2019,Cold
12,19802,-79.04389414,26.79223817,1,21,2019,Cold
13,19802,-79.06697859,26.75526159,1,22,2019,Cold
14,19802,-79.10240483,26.8673971,1,23,2019,Cold
15,19802,-79.13205726,27.05168113,1,24,2019,Cold
16,19802,-79.1498223,27.05629418,1,25,2019,Cold
17,19802,-79.13775572,27.05444398,1,26,2019,Cold
18,19802,-79.10335502,26.91262283,1,27,2019,Cold
19,19802,-79.06667924,26.75028486,1,28,2019,Cold
20,19802,-79.04053678,26.671611,1,29,2019,Cold
21,19802,-79.07444366,26.58049627,1,30,2019,Cold
22,19802,-79.24514512,25.97607835,1,31,2019,Cold
23,19802,-79.300874,25.93213814,2,1,2019,Cold
24,19802,-79.31280298,25.87674395,2,2,2019,Cold
25,19802,-79.26539126,25.86111845,2,3,2019,Cold
26,19802,-79.21644531,25.84804579,2,4,2019,Cold
27,19802,-79.19727947,25.83146567,2,5,2019,Cold
28,19802,-79.17623444,25.95921852,2,6,2019,Cold
29,19802,-79.10993227,25.8935042,2,7,2019,Cold
30,19802,-78.95412901,26.03602634,2,8,2019,Cold
31,19802,-78.97358903,26.04577697,2,9,2019,Cold
32,19802,-79.03626393,26.03870666,2,10,2019,Cold
33,19802,-78.95567914,26.06775538,2,11,2019,Cold
34,19802,-78.82480576,26.64383294,2,12,2019,Cold
35,19802,-78.71780554,26.85793802,2,13,2019,Cold
36,19802,-78.53933495,26.93442076,2,14,2019,Cold
37,19802,-78.60310345,26.92987331,2,15,2019,Cold
38,19802,-78.76276721,26.96455303,2,16,2019,Cold
39,19802,-78.83247006,26.98251799,2,17,2019,Cold
40,19802,-78.69843985,26.95396671,2,18,2019,Cold
41,19802,-78.56706141,26.93688023,2,19,2019,Cold
42,19802,-78.56906014,26.9673179,2,20,2019,Cold
43,19802,-78.7493086,27.01045297,2,21,2019,Cold
44,19802,-78.86917859,26.98466023,2,22,2019,Cold
45,19802,-78.92731563,26.96545896,2,23,2019,Cold
46,19802,-78.96730538,26.95262819,2,24,2019,Cold
47,19802,-78.90949142,26.84770819,2,25,2019,Cold
48,19802,-78.72989222,26.67494569,2,26,2019,Cold
49,19802,-78.51399098,26.86274569,2,27,2019,Cold
50,19802,-78.36001458,27.12860647,2,28,2019,Cold
51,19802,-78.35861011,27.17622851,3,1,2019,Cold
52,19802,-78.53268702,27.15832208,3,2,2019,Cold
53,19802,-78.94920734,27.0702804,3,3,2019,Cold
54,19802,-79.22815036,27.04081467,3,4,2019,Cold
55,19802,-79.22484949,27.05637851,3,5,2019,Cold
56,19802,-79.19061585,27.03285695,3,6,2019,Cold
57,19802,-79.18450804,26.84414927,3,7,2019,Cold
58,19802,-79.14677092,26.9327401,3,8,2019,Cold
